        altfas  astbur  neobri  neochi  neocra  neogra  neohel  neomar  neooli  neopul  neosav  neowal  telvit  
altfas  0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
astbur  0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
neobri  0.0     0.0     0.0     0.0     0.065   0.0975  0.05    0.13    0.0475  0.0     0.1625  0.0     0.0     
neochi  0.02    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.08    
neocra  0.0     0.0     0.145   0.01    0.0     0.0775  0.135   0.0     0.0675  0.1275  0.055   0.01    0.0     
neogra  0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0825  0.01    0.0     0.0     0.0     0.0     
neohel  0.0     0.0     0.0     0.01    0.01    0.0375  0.0     0.085   0.0     0.0     0.165   0.01    0.01    
neomar  0.0     0.0     0.0     0.01    0.0     0.0     0.0     0.0     0.0     0.0     0.02    0.01    0.0     
neooli  0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0575  0.0     0.0     0.13    0.0     0.0     
neopul  0.0     0.0     0.24    0.0     0.035   0.0375  0.095   0.1175  0.0     0.0     0.185   0.0     0.0     
neosav  0.0     0.0     0.0     0.03    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.03    0.02    
neowal  0.02    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.08    
telvit  0.06    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
