p1        p2        p3         n(p1,p2)  n(p2,p3)  n(p1,p3)    d         p
neobri    altfas    astbur           66         0         0    0.000    1.00000000
neocan    altfas    astbur          183         0         0    0.000    1.00000000
neochi    altfas    astbur           66         0         0    0.000    1.00000000
neocra    altfas    astbur           61         0         0    0.000    1.00000000
neogra    altfas    astbur           62         0         0    0.000    1.00000000
neohel    altfas    astbur           61         0         0    0.000    1.00000000
neomar    altfas    astbur           67         0         0    0.000    1.00000000
neooli    altfas    astbur           63         0         0    0.000    1.00000000
neopul    altfas    astbur           67         0         0    0.000    1.00000000
neosav    altfas    astbur           60         0         0    0.000    1.00000000
neowal    altfas    astbur           67         0         0    0.000    1.00000000
telvit    altfas    astbur           76         0         0    0.000    1.00000000
altfas    neocan    neobri          171        60         7    0.791    0.00000000
neobri    neochi    altfas          162        43        33    0.132    0.30187249
neocra    neobri    altfas          204        19        15    0.118    0.60759136
neogra    neobri    altfas          213        16         9    0.280    0.22952294
neohel    neobri    altfas          212        16        10    0.231    0.32693958
neobri    neomar    altfas          202        19        17    0.056    0.86793940
neooli    neobri    altfas          213        14        11    0.120    0.69003797
neopul    neobri    altfas          213        13        12    0.040    1.00000000
neosav    neobri    altfas          203        21        14    0.200    0.31050466
neobri    neowal    altfas          162        43        33    0.132    0.30187249
neobri    telvit    altfas          163        48        27    0.280    0.02029841
altfas    neocan    neochi          175        54         9    0.714    0.00000001
altfas    neocan    neocra          173        55        10    0.692    0.00000001
altfas    neocan    neogra          170        60         8    0.765    0.00000000
altfas    neocan    neohel          171        59         8    0.761    0.00000000
altfas    neocan    neomar          170        58        10    0.706    0.00000000
altfas    neocan    neooli          169        60         9    0.739    0.00000000
altfas    neocan    neopul          169        60         9    0.739    0.00000000
altfas    neocan    neosav          170        61         7    0.794    0.00000000
altfas    neocan    neowal          175        55         8    0.746    0.00000000
altfas    neocan    telvit          162        70         6    0.842    0.00000000
neocra    neochi    altfas          161        43        34    0.117    0.36203180
neogra    neochi    altfas          165        45        28    0.233    0.06037004
neohel    neochi    altfas          163        44        31    0.173    0.16542794
neomar    neochi    altfas          161        39        38    0.013    1.00000000
neooli    neochi    altfas          165        41        32    0.123    0.34918184
neopul    neochi    altfas          162        43        33    0.132    0.30187249
neosav    neochi    altfas          167        41        30    0.155    0.23509756
neowal    neochi    altfas          226         8         4    0.333    0.38769531
neochi    telvit    altfas          156        48        34    0.171    0.15067521
neogra    neocra    altfas          208        17        13    0.133    0.58466471
neohel    neocra    altfas          203        19        16    0.086    0.73587880
neocra    neomar    altfas          215        16         7    0.391    0.09313965
neocra    neooli    altfas          210        16        12    0.143    0.57158819
neocra    neopul    altfas          207        19        12    0.226    0.28104152
neocra    neosav    altfas          201        19        18    0.027    1.00000000
neocra    neowal    altfas          161        42        35    0.091    0.49438227
neocra    telvit    altfas          156        49        33    0.195    0.09703091
neogra    neohel    altfas          212        16        10    0.231    0.32693958
neogra    neomar    altfas          205        22        11    0.333    0.08014331
neogra    neooli    altfas          216        15         7    0.364    0.13380051
neogra    neopul    altfas          213        18         7    0.440    0.04328525
neogra    neosav    altfas          207        17        14    0.097    0.72010013
neogra    neowal    altfas          165        44        29    0.205    0.10064368
neogra    telvit    altfas          163        49        26    0.307    0.01058212
neohel    neomar    altfas          201        24        13    0.297    0.09887175
neohel    neooli    altfas          214        14        10    0.167    0.54125619
neohel    neopul    altfas          214        15         9    0.250    0.30745625
neohel    neosav    altfas          203        19        16    0.086    0.73587880
neohel    neowal    altfas          163        44        31    0.173    0.16542794
neohel    telvit    altfas          164        48        26    0.297    0.01407998
neooli    neomar    altfas          210        16        12    0.143    0.57158819
neopul    neomar    altfas          206        16        16    0.000    1.00000000
neosav    neomar    altfas          197        24        17    0.171    0.34888888
neowal    neomar    altfas          161        39        38    0.013    1.00000000
neomar    telvit    altfas          158        45        35    0.125    0.31430658
neooli    neopul    altfas          220        10         8    0.111    0.81452942
neosav    neooli    altfas          209        17        12    0.172    0.45825832
neooli    neowal    altfas          165        40        33    0.096    0.48278856
neooli    telvit    altfas          165        45        28    0.233    0.06037004
neosav    neopul    altfas          206        19        13    0.188    0.37708559
neopul    neowal    altfas          162        42        34    0.105    0.42219110
neopul    telvit    altfas          165        45        28    0.233    0.06037004
neosav    neowal    altfas          168        40        30    0.143    0.28197892
neosav    telvit    altfas          165        47        26    0.288    0.01861775
neowal    telvit    altfas          159        46        33    0.165    0.17661055
neocan    neobri    astbur          115         0         0    0.000    1.00000000
neochi    neobri    astbur          184         0         0    0.000    1.00000000
neocra    neobri    astbur          219         0         0    0.000    1.00000000
neogra    neobri    astbur          228         0         0    0.000    1.00000000
neohel    neobri    astbur          223         0         0    0.000    1.00000000
neomar    neobri    astbur          221         0         0    0.000    1.00000000
neooli    neobri    astbur          225         0         0    0.000    1.00000000
neopul    neobri    astbur          227         0         0    0.000    1.00000000
neosav    neobri    astbur          216         0         0    0.000    1.00000000
neowal    neobri    astbur          185         0         0    0.000    1.00000000
telvit    neobri    astbur          190         0         0    0.000    1.00000000
