              AUE7_A    AUE7_B    ISA8_A    ISA8_B    ISB3_A    ISB3_B    IVE8_A    IVE8_B    IZC5_A    IZC5_B    JBD6_A    JBD6_B    JUH9_A    JUH9_B    JWG9_A    JWG9_B    JWH2_A    JWH2_B    JWH4_A    JWH4_B    JWH6_A    JWH6_B    KFD2_A    KFD2_B    KHA7_A    KHA7_B    LJC9_A    LJC9_B
AUE7_A          0.00      0.25      4.52      4.52      4.52      4.52      4.52      4.52      6.64      6.64      4.46      4.46      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.50      4.50      4.50      4.50      0.74      4.46
AUE7_B          0.25      0.00      4.52      4.52      4.52      4.52      4.52      4.52      6.64      6.64      4.46      4.46      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.50      4.50      4.50      4.50      0.74      4.46
ISA8_A          4.52      4.52      0.00      0.50      1.78      1.77      1.91      1.91      6.64      6.64      3.13      3.13      1.80      1.80      1.80      1.80      1.97      1.96      1.94      1.94      1.83      1.83      2.86      2.86      2.86      2.86      4.52      3.14
ISA8_B          4.52      4.52      0.50      0.00      1.78      1.77      1.91      1.89      6.64      6.64      3.13      3.13      1.79      1.80      1.79      1.79      1.96      1.95      1.94      1.94      1.83      1.83      2.86      2.86      2.86      2.86      4.52      3.14
ISB3_A          4.52      4.52      1.78      1.78      0.00      0.58      1.68      1.71      6.64      6.64      3.15      3.15      1.32      1.31      1.51      1.51      1.75      1.75      1.82      1.83      1.24      1.25      2.89      2.89      2.89      2.89      4.52      3.15
ISB3_B          4.52      4.52      1.77      1.77      0.58      0.00      1.68      1.71      6.64      6.64      3.15      3.15      1.32      1.32      1.51      1.51      1.75      1.75      1.82      1.82      1.24      1.24      2.89      2.89      2.89      2.89      4.52      3.15
IVE8_A          4.52      4.52      1.91      1.91      1.68      1.68      0.00      0.70      6.64      6.64      3.15      3.15      1.66      1.66      1.72      1.72      1.68      1.69      1.32      1.31      1.72      1.72      2.88      2.88      2.88      2.88      4.52      3.15
IVE8_B          4.52      4.52      1.91      1.89      1.71      1.71      0.70      0.00      6.64      6.64      3.15      3.15      1.68      1.66      1.72      1.72      1.70      1.71      1.32      1.31      1.74      1.74      2.88      2.88      2.88      2.88      4.52      3.15
IZC5_A          6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      0.00      0.33      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64
IZC5_B          6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      0.33      0.00      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64      6.64
JBD6_A          4.46      4.46      3.13      3.13      3.15      3.15      3.15      3.15      6.64      6.64      0.00      1.44      3.15      3.15      3.14      3.14      3.15      3.15      3.15      3.15      3.15      3.15      3.07      3.07      3.07      3.07      4.46      1.51
JBD6_B          4.46      4.46      3.13      3.13      3.15      3.15      3.15      3.15      6.64      6.64      1.44      0.00      3.15      3.15      3.14      3.14      3.15      3.15      3.15      3.15      3.15      3.15      3.07      3.07      3.07      3.07      4.46      1.59
JUH9_A          4.52      4.52      1.80      1.79      1.32      1.32      1.66      1.68      6.64      6.64      3.15      3.15      0.00      0.62      1.46      1.46      1.70      1.69      1.80      1.81      1.56      1.55      2.89      2.89      2.89      2.89      4.52      3.15
JUH9_B          4.52      4.52      1.80      1.80      1.31      1.32      1.66      1.66      6.64      6.64      3.15      3.15      0.62      0.00      1.46      1.46      1.69      1.68      1.81      1.82      1.56      1.56      2.89      2.89      2.89      2.89      4.52      3.15
JWG9_A          4.52      4.52      1.80      1.79      1.51      1.51      1.72      1.72      6.64      6.64      3.14      3.14      1.46      1.46      0.00      0.37      1.75      1.75      1.86      1.86      1.61      1.60      2.88      2.88      2.88      2.88      4.52      3.14
JWG9_B          4.52      4.52      1.80      1.79      1.51      1.51      1.72      1.72      6.64      6.64      3.14      3.14      1.46      1.46      0.37      0.00      1.75      1.75      1.85      1.85      1.61      1.60      2.88      2.88      2.88      2.88      4.52      3.14
JWH2_A          4.52      4.52      1.97      1.96      1.75      1.75      1.68      1.70      6.64      6.64      3.15      3.15      1.70      1.69      1.75      1.75      0.00      0.50      1.77      1.78      1.79      1.78      2.89      2.89      2.89      2.89      4.52      3.15
JWH2_B          4.52      4.52      1.96      1.95      1.75      1.75      1.69      1.71      6.64      6.64      3.15      3.15      1.69      1.68      1.75      1.75      0.50      0.00      1.77      1.77      1.79      1.79      2.89      2.89      2.89      2.89      4.52      3.15
JWH4_A          4.52      4.52      1.94      1.94      1.82      1.82      1.32      1.32      6.64      6.64      3.15      3.15      1.80      1.81      1.86      1.85      1.77      1.77      0.00      0.36      1.80      1.79      2.88      2.88      2.88      2.88      4.52      3.15
JWH4_B          4.52      4.52      1.94      1.94      1.83      1.82      1.31      1.31      6.64      6.64      3.15      3.15      1.81      1.82      1.86      1.85      1.78      1.77      0.36      0.00      1.80      1.80      2.88      2.88      2.88      2.88      4.52      3.15
JWH6_A          4.52      4.52      1.83      1.83      1.24      1.24      1.72      1.74      6.64      6.64      3.15      3.15      1.56      1.56      1.61      1.61      1.79      1.79      1.80      1.80      0.00      0.71      2.89      2.89      2.89      2.89      4.52      3.15
JWH6_B          4.52      4.52      1.83      1.83      1.25      1.24      1.72      1.74      6.64      6.64      3.15      3.15      1.55      1.56      1.60      1.60      1.78      1.79      1.79      1.80      0.71      0.00      2.89      2.89      2.89      2.89      4.52      3.15
KFD2_A          4.50      4.50      2.86      2.86      2.89      2.89      2.88      2.88      6.64      6.64      3.07      3.07      2.89      2.89      2.88      2.88      2.89      2.89      2.88      2.88      2.89      2.89      0.00      0.61      0.63      0.61      4.50      3.06
KFD2_B          4.50      4.50      2.86      2.86      2.89      2.89      2.88      2.88      6.64      6.64      3.07      3.07      2.89      2.89      2.88      2.88      2.89      2.89      2.88      2.88      2.89      2.89      0.61      0.00      0.64      0.63      4.50      3.06
KHA7_A          4.50      4.50      2.86      2.86      2.89      2.89      2.88      2.88      6.64      6.64      3.07      3.07      2.89      2.89      2.88      2.88      2.89      2.89      2.88      2.88      2.89      2.89      0.63      0.64      0.00      0.22      4.50      3.06
KHA7_B          4.50      4.50      2.86      2.86      2.89      2.89      2.88      2.88      6.64      6.64      3.07      3.07      2.89      2.89      2.88      2.88      2.89      2.89      2.88      2.88      2.89      2.89      0.61      0.63      0.22      0.00      4.50      3.06
LJC9_A          0.74      0.74      4.52      4.52      4.52      4.52      4.52      4.52      6.64      6.64      4.46      4.46      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.52      4.50      4.50      4.50      4.50      0.00      4.46
LJC9_B          4.46      4.46      3.14      3.14      3.15      3.15      3.15      3.15      6.64      6.64      1.51      1.59      3.15      3.15      3.14      3.14      3.15      3.15      3.15      3.15      3.15      3.15      3.06      3.06      3.06      3.06      4.46      0.00
