        altfas  astbur  neobri  neocan  neochi  neocra  neogra  neohel  neomar  neooli  neopul  neosav  neowal  telvit  
altfas  0.125   6.64    4.52    2.6     4.5     4.52    4.52    4.52    4.52    4.52    4.52    4.52    4.5     4.46    
astbur  6.64    0.165   6.64    6.64    6.64    6.64    6.64    6.64    6.64    6.64    6.64    6.64    6.64    6.64    
neobri  4.52    6.64    0.31    3.835   2.89    1.665   1.69    1.46    1.81    1.5575  1.3175  1.7975  2.89    3.15    
neocan  2.6     6.64    3.835   2.23    3.78    3.835   3.835   3.83    3.835   3.835   3.835   3.83    3.78    3.005   
neochi  4.5     6.64    2.89    3.78    0.11    2.88    2.89    2.88    2.88    2.89    2.89    2.86    0.6275  3.07    
neocra  4.52    6.64    1.665   3.835   2.88    0.35    1.695   1.72    1.315   1.73    1.695   1.905   2.88    3.15    
neogra  4.52    6.64    1.69    3.835   2.89    1.695   0.25    1.75    1.7725  1.7875  1.75    1.96    2.89    3.15    
neohel  4.52    6.64    1.46    3.83    2.88    1.72    1.75    0.185   1.855   1.605   1.51    1.795   2.88    3.14    
neomar  4.52    6.64    1.81    3.835   2.88    1.315   1.7725  1.855   0.18    1.7975  1.8225  1.94    2.88    3.15    
neooli  4.52    6.64    1.5575  3.835   2.89    1.73    1.7875  1.605   1.7975  0.355   1.2425  1.83    2.89    3.15    
neopul  4.52    6.64    1.3175  3.835   2.89    1.695   1.75    1.51    1.8225  1.2425  0.29    1.775   2.89    3.15    
neosav  4.52    6.64    1.7975  3.83    2.86    1.905   1.96    1.795   1.94    1.83    1.775   0.25    2.86    3.13    
neowal  4.5     6.64    2.89    3.78    0.6275  2.88    2.89    2.88    2.88    2.89    2.89    2.86    0.305   3.07    
telvit  4.46    6.64    3.15    3.005   3.07    3.15    3.15    3.14    3.15    3.15    3.15    3.13    3.07    0.72    
