P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
neocra	neobri	neochi	0.00828713	0.444485	0.328346	0.00268997	7379.06	2024.02	1990.74
neogra	neobri	neochi	0.0118825	0.85281	0.196882	0.00387428	7471.15	2111.19	2061.61
neohel	neobri	neochi	0.0254186	1.22251	0.110757	0.00753072	7781.38	1872.09	1779.28
neomar	neobri	neochi	0.0225739	0.919758	0.17885	0.00847287	6481.15	2429.63	2322.36
neooli	neobri	neochi	0.0412442	2.07661	0.0189189	0.0125687	7713.31	2031.5	1870.56
neopul	neobri	neochi	0.00640913	0.428865	0.334011	0.00169382	7762.66	1527.74	1508.29
neosav	neobri	neochi	0.00866441	0.539673	0.294711	0.00322976	6294.7	2215.52	2177.45
neowal	neochi	neobri	0.012784	0.728792	0.233064	0.00220037	11180.5	986.982	962.065
neogra	neobri	neocra	0.116632	4.04819	2.58073e-05	0.109001	3569.53	3801.36	3007.26
neohel	neobri	neocra	0.0913733	6.23925	2.19833e-10	0.0807837	3868.11	3222.67	2683.05
neomar	neocra	neobri	0.275014	9.79398	0	0.182255	4742.97	3783.99	2151.61
neooli	neobri	neocra	0.108775	5.85643	2.3646e-09	0.0984679	3748.04	3597.81	2891.9
neopul	neobri	neocra	0.0474946	2.30189	0.0106708	0.0393561	4031.58	2578.83	2344.98
neosav	neobri	neocra	0.280119	15.3127	0	0.246106	3215.09	4475.8	2516.99
neocra	neobri	neowal	0.00255956	0.152683	0.439324	0.000876623	8133.1	2097.18	2086.47
neohel	neobri	neogra	0.04742	2.93757	0.00165397	0.0327837	4118.84	3192.2	2903.16
neobri	neogra	neomar	0.0318553	1.61759	0.052876	0.0179191	4574.7	3320.52	3115.49
neooli	neobri	neogra	0.147124	9.59621	0	0.097386	4167.67	3763.51	2798.13
neopul	neobri	neogra	0.0814745	3.63202	0.000140606	0.0485509	4472.09	2698.86	2292.22
neosav	neobri	neogra	0.263888	17.7871	0	0.185684	3452.4	4520.12	2632.6
neogra	neobri	neowal	0.0135572	0.938302	0.174045	0.00467015	8173.33	2214.04	2154.81
neohel	neobri	neomar	0.02811	1.39861	0.0809655	0.0140436	5142.34	2833.76	2678.8
neooli	neobri	neohel	0.123283	6.53254	3.23317e-11	0.0868878	3168.98	3698.76	2886.86
neopul	neobri	neohel	0.0818702	5.15363	1.27747e-07	0.0513125	3570.89	2684.6	2278.29
neohel	neobri	neosav	0.00733311	0.352949	0.362063	0.00483011	4594.22	2713.02	2673.52
neohel	neobri	neowal	0.0260747	1.18239	0.118525	0.008267	8552.64	1977.41	1876.91
neobri	neooli	neomar	0.00932442	0.593359	0.27647	0.00495685	4864.66	3068.08	3011.39
neobri	neopul	neomar	0.00124976	0.0752442	0.47001	0.000555444	5290.11	2278.27	2272.59
neosav	neobri	neomar	0.159913	13.1036	0	0.0891168	4044.62	3782.03	2739.2
neomar	neobri	neowal	0.0251119	1.08779	0.138344	0.00986756	7148.13	2534.78	2410.59
neooli	neopul	neobri	0.266758	11.9779	0	0.208354	3700.12	3304.52	1912.77
neooli	neobri	neosav	0.0477814	3.10508	0.000951134	0.0319293	4490.98	3073.67	2793.33
neooli	neobri	neowal	0.0464044	2.4581	0.00698367	0.01493	8456.8	2135.41	1946.01
neobri	neopul	neosav	0.0196774	1.30959	0.0951672	0.0118444	4801.94	2334.59	2244.48
neobri	neopul	neowal	0.00333259	0.224997	0.410991	0.000947241	8524.83	1615.1	1604.37
neosav	neobri	neowal	0.00364096	0.261303	0.396929	0.00143373	6895.2	2305.72	2288.99
neocra	neogra	neochi	0.00854518	0.476968	0.316693	0.00282998	7229.01	2226.49	2188.76
neohel	neocra	neochi	0.00936861	0.505525	0.306595	0.00307992	7083.04	2118.88	2079.54
neocra	neomar	neochi	0.00268205	0.151438	0.439815	0.000735014	8434.11	1830.3	1820.51
neooli	neocra	neochi	0.0234976	1.27428	0.101281	0.00769975	7293.86	2247.3	2144.11
neocra	neopul	neochi	0.0103786	0.512129	0.30428	0.00330891	6748.22	1918.66	1879.24
neocra	neosav	neochi	0.0122806	0.725573	0.23405	0.00478058	5941.33	2444.54	2385.22
neowal	neochi	neocra	0.0166001	0.952755	0.170357	0.00304516	11747.4	1007.28	974.383
neohel	neogra	neochi	0.0191181	1.25328	0.105053	0.00613444	7319.33	2158.91	2077.91
neomar	neogra	neochi	0.00869975	0.443589	0.32867	0.0030342	6987.95	2427.62	2385.74
neooli	neogra	neochi	0.0323217	1.5704	0.0581612	0.0109472	7227.58	2443.33	2290.33
neopul	neogra	neochi	8.22876e-05	0.00542244	0.497837	2.71574e-05	6663.83	2025.58	2025.25
neogra	neosav	neochi	0.00843355	0.574016	0.282978	0.0032577	6069.09	2467.46	2426.19
neowal	neochi	neogra	0.00798158	0.474241	0.317664	0.00125579	12245.5	1032.67	1016.32
neohel	neomar	neochi	0.00468839	0.298441	0.382683	0.0017124	6468.24	2404.1	2381.66
neooli	neohel	neochi	0.0141108	0.769436	0.220817	0.00437391	7648.19	2078.92	2021.06
neohel	neopul	neochi	0.0232933	1.04484	0.148049	0.00700868	6983.36	1821.3	1738.38
neohel	neosav	neochi	0.0158242	1.26028	0.103784	0.00567491	6329.81	2224.07	2154.77
neowal	neochi	neohel	0.0282102	2.24869	0.0122662	0.00420813	11647.5	1006.88	951.63
neooli	neomar	neochi	0.0219611	1.01767	0.154418	0.00763987	6923.62	2464.42	2358.5
neomar	neopul	neochi	0.00835948	0.318412	0.375086	0.00299393	6066.95	2211.45	2174.79
neomar	neosav	neochi	0.00890155	0.497286	0.309494	0.00361098	5766.37	2587.93	2542.26
neowal	neochi	neomar	0.0222295	1.63861	0.0506468	0.0031818	12094.7	1022.21	977.755
neooli	neopul	neochi	0.0522266	2.39136	0.00839304	0.0124815	8448.36	1565.61	1410.2
neooli	neosav	neochi	0.0342702	1.92789	0.0269343	0.0124595	6444.57	2399.61	2240.59
neowal	neochi	neooli	0.0216223	1.15692	0.123653	0.00347444	12334.1	1022.73	979.443
neopul	neosav	neochi	0.000576409	0.0286558	0.48857	0.00020552	5968.3	2043.28	2040.92
neowal	neochi	neopul	0.0132845	0.719951	0.235778	0.00221973	10799.2	917.693	893.63
neowal	neochi	neosav	0.0165852	1.01737	0.154489	0.0028316	11202	992.208	959.833
neogra	neohel	neocra	0.0281288	1.30176	0.0964988	0.0265987	3634.72	3608.24	3410.81
neomar	neocra	neogra	0.114569	6.14203	4.07359e-10	0.0643716	5199.26	3274.3	2601.16
neogra	neooli	neocra	0.00543414	0.280427	0.389575	0.00543705	3393.28	3871.96	3830.11
neogra	neopul	neocra	0.0727521	3.12572	0.000886855	0.0687959	3120.12	3522.29	3044.54
neosav	neogra	neocra	0.172813	9.7177	0	0.157744	3151.04	4513.02	3183.04
neogra	neocra	neowal	0.0021278	0.120592	0.452007	0.000751797	7938.93	2335.22	2325.31
neomar	neocra	neohel	0.211094	8.33641	3.82723e-17	0.109732	5122.26	3512.8	2288.23
neooli	neohel	neocra	0.0230234	1.42423	0.0771902	0.0207456	3756.17	3370.98	3219.25
neohel	neopul	neocra	0.0471581	3.2431	0.000591175	0.0420083	3426.74	3007.66	2736.76
neosav	neohel	neocra	0.214975	12.1538	0	0.182415	3364.42	4165.01	2691.11
neohel	neocra	neowal	0.0174134	0.935085	0.174872	0.00608726	7825.72	2258.57	2181.26
neomar	neocra	neooli	0.152828	6.19137	2.98218e-10	0.0890153	5204.54	3334.45	2450.37
neomar	neocra	neopul	0.231261	10.5646	0	0.141966	4517	3261.69	2036.44
neomar	neocra	neosav	0.0984947	4.019	2.92228e-05	0.0499292	5933.84	2806.8	2303.46
neomar	neocra	neowal	0.00837697	0.462721	0.321782	0.00243357	9294.64	1929.76	1897.7
neooli	neopul	neocra	0.0901124	5.64098	8.45434e-09	0.0628316	4773.14	2572.68	2147.35
neosav	neooli	neocra	0.187567	14.1785	0	0.160689	3394.27	4297.79	2940.19
neooli	neocra	neowal	0.032556	2.08542	0.0185157	0.0112751	7991.64	2378.72	2228.72
neosav	neopul	neocra	0.250198	13.9383	0	0.210943	3148.47	3987.84	2391.7
neocra	neopul	neowal	0.00443854	0.259651	0.397567	0.00151648	7401.12	2013.12	1995.33
neocra	neosav	neowal	0.00628554	0.442605	0.329026	0.00261583	6542.73	2553.18	2521.29
neohel	neogra	neomar	0.0549997	2.1809	0.0145955	0.0311736	4498.14	3561.24	3189.93
neooli	neohel	neogra	0.100754	7.03945	9.6499e-13	0.0666188	4096.41	3705.56	3027.2
neopul	neohel	neogra	0.0236152	1.43231	0.0760272	0.0161027	3691.34	2997.61	2859.3
neosav	neohel	neogra	0.225054	15.9992	0	0.153928	3511.66	4350	2751.73
neohel	neogra	neowal	0.0163687	1.00946	0.156378	0.00563255	8025.52	2290.29	2216.52
neooli	neogra	neomar	0.025933	1.40894	0.0794269	0.0157042	4077.92	3818.86	3625.8
neopul	neogra	neomar	0.0327055	1.86275	0.0312485	0.0186223	3896.69	3218.77	3014.9
neosav	neogra	neomar	0.172741	8.63127	3.03577e-18	0.103944	3612.7	4415.34	3114.61
neomar	neogra	neowal	0.010502	0.562043	0.287044	0.00389554	7704.83	2562.85	2509.58
neooli	neopul	neogra	0.100871	6.85326	3.60931e-12	0.0508107	5319.89	2603.01	2125.99
neosav	neooli	neogra	0.133333	10.4737	0	0.0903698	3661.35	4150.06	3173.58
neooli	neogra	neowal	0.031628	1.68859	0.045649	0.0113785	7916.88	2581.54	2423.25
neosav	neopul	neogra	0.200365	13.6435	0	0.133411	3384.24	3850.15	2564.82
neogra	neopul	neowal	0.00815289	0.562365	0.286934	0.00286215	7282.14	2152.39	2117.57
neogra	neosav	neowal	0.0111442	0.828974	0.20356	0.00456079	6662.31	2616.12	2558.46
neohel	neooli	neomar	0.0309001	1.62126	0.0524811	0.0163919	4735.55	3250.74	3055.86
neohel	neopul	neomar	0.0227115	0.949648	0.171146	0.011626	4461.91	2768.91	2645.93
neosav	neohel	neomar	0.134555	9.12307	5.42101e-20	0.0745298	4114.17	3752.91	2862.74
neomar	neohel	neowal	0.00101575	0.0642873	0.474371	0.00039017	7144.79	2504.79	2499.7
