P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S01	S02	S00	0.00645161	0.228337	0.409692	7.6296e-05	40635	936	924
S01	S00	S03	0.0299321	1.08142	0.139754	0.000543936	28841	1724.75	1624.5
S01	S00	S04	0.0072971	0.308069	0.379015	0.00013279	28889.2	1691	1666.5
S01	S00	S05	0.00312175	0.133303	0.446977	5.6877e-05	28861.2	1687	1676.5
S01	S00	S06	0.00312175	0.135082	0.446273	5.69626e-05	28876.5	1687	1676.5
S01	S00	S07	0.00490269	0.210116	0.416789	8.92693e-05	28871.5	1691	1674.5
S00	S01	S08	0.0613992	1.7814	0.0374237	0.000460113	45178.5	806	712.75
S00	S01	S09	0.0704225	2.17799	0.0147034	0.000530632	45323	817	709.5
S00	S01	S10	0.07982	2.25263	0.0121413	0.000589494	45131.8	810	690.25
S00	S01	S11	0.0414123	1.01006	0.156232	0.000310178	45325.5	789	726.25
S00	S01	S12	0.0635373	1.72661	0.042119	0.000465774	45270	793	698.25
S00	S01	S13	0.0714406	1.80712	0.0353716	0.000523734	45260.8	793	687.25
S00	S01	S14	0.0740428	1.87999	0.0300546	0.000543246	45272.8	796	686.25
S00	S01	S15	0.0733682	1.84515	0.0325078	0.000537585	45271	795.5	686.75
S00	S01	S16	0.0747679	1.84578	0.0324622	0.000543987	45274	796	685.25
S00	S01	S17	0.0734177	1.81587	0.034695	0.000539905	45275.2	795	686.25
S00	S01	S18	0.0727918	1.80127	0.0358302	0.000532762	45273.5	794	686.25
S00	S01	S19	0.0727918	1.80127	0.0358302	0.000533362	45272	794	686.25
S02	S00	S03	0.0255684	0.869997	0.192151	0.000465268	28848	1719.75	1634
S02	S00	S04	0.00192964	0.0754329	0.469935	3.52617e-05	28897.8	1687.5	1681
S00	S02	S05	0.00193022	0.0767608	0.469407	3.52148e-05	28866.8	1687	1680.5
S00	S02	S06	0.00193022	0.0775831	0.46908	3.52958e-05	28882	1687	1680.5
S00	S02	S07	0.00014839	0.00591873	0.497639	2.70324e-06	28877	1685	1684.5
S00	S02	S08	0.0762866	2.0779	0.0188595	0.000568553	45175.5	813	697.75
S00	S02	S09	0.0764446	2.02784	0.0212885	0.000576057	45330.8	822	705.25
S00	S02	S10	0.0885356	2.22245	0.0131265	0.000651015	45134.2	813	680.75
S00	S02	S11	0.055574	1.16963	0.121075	0.000412583	45320.8	793	709.5
S00	S02	S12	0.0774958	1.94008	0.0261852	0.000562618	45265.2	796	681.5
S00	S02	S13	0.0825127	1.94928	0.0256311	0.000601656	45261	797	675.5
S00	S02	S14	0.0844927	2.00312	0.0225821	0.000616363	45273	799	674.5
S00	S02	S15	0.083928	1.94488	0.025895	0.000610957	45270.2	797.5	674
S00	S02	S16	0.0846075	1.95727	0.0251577	0.000611483	45274.2	798	673.5
S00	S02	S17	0.083985	1.92043	0.027402	0.000612999	45274.5	797	673.5
S00	S02	S18	0.0833617	1.90815	0.028186	0.000605675	45272.8	796	673.5
S00	S02	S19	0.0833617	1.90815	0.028186	0.000606117	45271.2	796	673.5
S04	S03	S00	0.0503531	1.11845	0.131687	0.000444098	41873	855.25	773.25
S05	S03	S00	0.0356594	0.794283	0.213515	0.000314258	41857	842.25	784.25
S06	S03	S00	0.0450146	1.00752	0.156843	0.000396909	41868	850.25	777
S07	S03	S00	0.0395933	0.881333	0.189069	0.000347863	41894.8	843.5	779.25
S00	S03	S08	0.003075	0.173523	0.43112	8.50707e-05	20145.8	2813.5	2796.25
S00	S03	S09	0.0167699	0.823271	0.205177	0.00045798	20216.2	2811.75	2719
S00	S03	S10	0.00371548	0.195915	0.422338	0.000102146	20107.2	2802.75	2782
S00	S03	S11	0.0212842	1.07056	0.142183	0.000590344	20230.5	2867	2747.5
S00	S03	S12	0.0153464	1.02232	0.153314	0.000425109	20230.5	2861.5	2775
S00	S03	S13	0.0262219	1.6461	0.0498711	0.000727689	20186.8	2876.5	2729.5
S00	S03	S14	0.0251741	1.61307	0.0533642	0.00069767	20200.2	2871	2730
S00	S03	S15	0.0260901	1.68556	0.0459406	0.000721755	20193	2871	2725
S00	S03	S16	0.0244861	1.54507	0.0611652	0.000672781	20201.5	2866	2729
S00	S03	S17	0.025916	1.64499	0.0499858	0.00071963	20197.8	2870	2725
S00	S03	S18	0.0257419	1.63819	0.0506915	0.000712248	20196	2869	2725
S00	S03	S19	0.0257419	1.63819	0.0506915	0.000713255	20194.5	2869	2725
S04	S05	S00	0.0752351	1.04931	0.147019	0.000129962	74754.9	171.5	147.5
S04	S06	S00	0.027668	0.394362	0.346657	4.74019e-05	74766	162.5	153.75
S04	S07	S00	0.0557738	0.81761	0.20679	9.61837e-05	74757.9	168	150.25
S00	S04	S08	0.0111675	0.580975	0.280629	0.000311729	20067.8	2863.5	2800.25
S00	S04	S09	0.0221705	1.01905	0.154089	0.000610931	20144.2	2852.75	2729
S00	S04	S10	0.0111205	0.568215	0.284945	0.00030911	20033.2	2852.75	2790
S00	S04	S11	0.0238788	1.10542	0.134488	0.000669673	20170.5	2905	2769.5
S00	S04	S12	0.0166417	0.98431	0.162481	0.000464504	20165.5	2886.5	2792
S00	S04	S13	0.0294378	1.58121	0.0569145	0.000822546	20111.8	2902.5	2736.5
S00	S04	S14	0.0270486	1.4997	0.0668459	0.000754819	20131	2895.25	2742.75
S00	S04	S15	0.0280639	1.56845	0.0583885	0.000780641	20122	2894	2736
S00	S04	S16	0.0264607	1.44825	0.0737735	0.000732189	20131.5	2890	2741
S00	S04	S17	0.028054	1.53563	0.0623148	0.0007836	20127.8	2895	2737
S00	S04	S18	0.0278814	1.52799	0.0632579	0.00077666	20126	2894	2737
S00	S04	S19	0.0278814	1.52799	0.0632579	0.000777488	20124.5	2894	2737
S06	S05	S00	0.393548	1.94954	0.0256155	8.25811e-05	120839	27	11.75
S07	S05	S00	0.182482	0.818659	0.20649	3.38563e-05	120637	20.25	14
S00	S05	S08	0.00730379	0.376949	0.353106	0.000203487	20094.8	2844.5	2803.25
S00	S05	S09	0.0186274	0.842761	0.199681	0.000512147	20172.2	2836.75	2733
S00	S05	S10	0.00831148	0.417999	0.337974	0.000230055	20056.2	2835.75	2789
S00	S05	S11	0.0227293	1.055	0.145713	0.000635008	20187.5	2891	2762.5
