Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	theta	population_size	
0	-7509.109708755123	-7203.442322204035	-305.6673865510885	0.1	0.2755608477328491	0.01	0.01	83333.33333333333	
50	-6039.059908623129	-5893.133447507968	-145.92646111516018	0.13420440955139062	0.7748678973310367	0.028602882520813375	0.005901339493142453	17193.312273242165	
100	-5958.3687970777655	-5817.0862001473715	-141.28259693039405	0.25726719054906244	0.7615129668662185	0.027293216165301205	0.00747171501679411	22813.101772071954	
150	-5905.976384944397	-5791.216522498694	-114.75986244570294	0.5223058455297708	0.9013529250474809	0.027293216165301205	0.008141590306227136	24858.406379927408	
200	-5810.888921890945	-5751.004015127432	-59.88490676351363	1.0702462867498377	1.5165128218805493	0.027102386619013798	0.008119056369889367	24964.149480084925	
250	-5761.542319112221	-5734.761603909475	-26.780715202746332	1.4367745763517186	2.721629925373164	0.020212863249440074	0.011571836262424974	47708.21811017435	
300	-5752.390447030762	-5728.387748189532	-24.002698841229133	1.374585247070769	2.9394431747350103	0.01776890347496411	0.011629634451628583	54541.13731147608	
350	-5746.447201719418	-5728.686264213991	-17.76093750542674	1.2071868124205265	3.9176036040053255	0.014067517083088099	0.011661279008638408	69079.23018541264	
400	-5736.675219467796	-5719.6124413781135	-17.06277808968224	1.2048846784518863	4.463648991660027	0.014586664683163966	0.013045543290978135	74528.93661402137	
450	-5731.667177317768	-5716.467891091645	-15.199286226122712	0.8959482452852628	4.463648991660027	0.014586664683163966	0.014256042722211074	81444.4964622693	
500	-5731.63328682889	-5717.559904233352	-14.073382595537442	0.8713263605140071	5.011522438627437	0.014117408295273052	0.014538801036173691	85820.76310849098	
550	-5704.414279426834	-5689.788114349406	-14.626165077428002	0.44509473013966416	4.75613519855069	0.013740115083052248	0.013686343881522636	83007.21281442093	
600	-5702.241987606748	-5687.759233527318	-14.482754079429418	0.4644179544696308	4.75613519855069	0.013572588376489917	0.01260409179758565	77386.9326908573	
650	-5704.654778860174	-5690.540265464813	-14.114513395360103	0.7011591489963379	5.305986211296084	0.014211145008520873	0.014588590583561808	85546.65237984355	
700	-5705.162547008198	-5691.1913073702	-13.97123963799799	0.5145146248749216	5.30098971342189	0.014290225365360596	0.014139592826632706	82454.92090527707	
750	-5705.6973835274275	-5687.9126225772025	-17.784760950225127	0.6747704050680658	7.0340062980563	0.01057887649638147	0.014430954971105964	113677.43836851126	
800	-5704.862847224926	-5688.10226632183	-16.760580903095704	0.6418038315909256	6.791948454818462	0.011035796999116167	0.014430954971105964	108970.79576779174	
