block_id	best	delta_lik	lik_t1	lik_t2	lik_t3
NC_031969.f5.masked_00581001_00581999	t3	2.4916	-1404.8564	-1404.3751	-1401.8835
NC_031969.f5.masked_01333001_01333999	t1	5.8735	-1361.5456	-1367.4191	-1367.4241
NC_031969.f5.masked_01730001_01730999	t2	1.3822	-1218.9605	-1217.5777	-1218.9599
NC_031969.f5.masked_01894001_01894999	t3	1.9595	-1459.4318	-1461.1901	-1457.4723
NC_031969.f5.masked_01895001_01895999	t1	24.2394	-1863.0333	-1887.2727	-1889.7332
NC_031969.f5.masked_02079001_02079999	t1	.0060	-1158.1684	-1158.1744	-1182.8409
NC_031969.f5.masked_02087001_02087999	t3	.5118	-1026.0074	-1026.0085	-1025.4956
NC_031969.f5.masked_02088001_02088999	t1	7.9204	-1076.5827	-1084.5031	-1084.5034
NC_031969.f5.masked_02099001_02099999	t1	.0776	-1026.4270	-1027.0127	-1026.5046
NC_031969.f5.masked_02378001_02378999	t2	6.8958	-1350.6502	-1343.7544	-1350.6510
NC_031969.f5.masked_02499001_02499999	t2	.0065	-1017.1827	-1017.1762	-1017.1833
NC_031969.f5.masked_02500001_02500999	t1	.0006	-1216.5193	-1216.5199	-1216.5224
NC_031969.f5.masked_02501001_02501999	t3	6.4772	-1224.8251	-1226.1474	-1218.3479
NC_031969.f5.masked_02503001_02503999	t3	.0004	-1381.6416	-1381.6433	-1381.6412
NC_031969.f5.masked_02504001_02504999	t2	.0222	-1284.4037	-1284.3689	-1284.3911
NC_031969.f5.masked_02896001_02896999	t1	3.2887	-1183.7531	-1187.0418	-1192.1917
NC_031969.f5.masked_03238001_03238999	t1	.0006	-1021.1720	-1021.1727	-1021.1726
NC_031969.f5.masked_03255001_03255999	t1	8.4978	-1322.7800	-1331.2778	-1333.6727
NC_031969.f5.masked_03424001_03424999	t3	.0282	-987.5415	-987.5394	-987.5112
NC_031969.f5.masked_03525001_03525999	t1	.3993	-1083.6694	-1084.0688	-1084.0687
NC_031969.f5.masked_04087001_04087999	t1	.0019	-1096.9012	-1096.9031	-1097.3203
NC_031969.f5.masked_04100001_04100999	t1	.0010	-1248.0230	-1248.2952	-1248.0240
NC_031969.f5.masked_04200001_04200999	t1	.0059	-1255.7741	-1255.7800	-1261.6649
NC_031969.f5.masked_04447001_04447999	t1	.0059	-1048.2831	-1048.2890	-1049.6324
NC_031969.f5.masked_04517001_04517999	t2	.0008	-1073.3869	-1073.3821	-1073.3829
NC_031969.f5.masked_04749001_04749999	t1	6.6153	-1420.1007	-1432.3352	-1426.7160
NC_031969.f5.masked_04750001_04750999	t1	12.3419	-1252.6152	-1264.9571	-1274.7476
NC_031969.f5.masked_04785001_04785999	t2	24.9723	-1239.0829	-1209.5558	-1234.5281
NC_031969.f5.masked_04843001_04843999	t3	.0028	-1071.9862	-1071.9859	-1071.9831
NC_031969.f5.masked_04861001_04861999	t2	7.2278	-1066.8294	-1059.6016	-1073.3766
NC_031969.f5.masked_04868001_04868999	t1	13.6711	-1119.0887	-1132.9610	-1132.7598
NC_031969.f5.masked_04906001_04906999	t1	.0002	-1081.7936	-1081.8393	-1081.7938
NC_031969.f5.masked_04920001_04920999	t1	.0008	-972.1620	-972.1628	-972.1657
NC_031969.f5.masked_04921001_04921999	t3	.0035	-1043.8340	-1043.8329	-1043.8294
NC_031969.f5.masked_04925001_04925999	t3	.0018	-984.1294	-984.1291	-984.1273
NC_031969.f5.masked_04932001_04932999	t2	.0070	-946.7038	-946.6952	-946.7022
NC_031969.f5.masked_04933001_04933999	t1	.0239	-1015.4443	-1015.4682	-1015.4894
NC_031969.f5.masked_04948001_04948999	t2	.0020	-998.4989	-998.4905	-998.4925
NC_031969.f5.masked_04955001_04955999	t2	.0001	-977.4583	-977.4582	-977.4583
NC_031969.f5.masked_04962001_04962999	t1	7.4356	-1099.5819	-1107.0175	-1107.0210
NC_031969.f5.masked_04969001_04969999	t2	.0010	-970.4450	-970.4437	-970.4447
NC_031969.f5.masked_05005001_05005999	t2	.0008	-1034.0366	-1034.0343	-1034.0351
NC_031969.f5.masked_05014001_05014999	t2	.0006	-1047.8565	-1047.8558	-1047.8564
NC_031969.f5.masked_05023001_05023999	t2	.0453	-1055.6511	-1055.6058	-1055.6595
NC_031969.f5.masked_05027001_05027999	t2	.4159	-1273.1465	-1272.4772	-1272.8931
NC_031969.f5.masked_05030001_05030999	t1	.0001	-1203.4923	-1203.4932	-1203.4924
NC_031969.f5.masked_05031001_05031999	t2	.0004	-1320.2841	-1320.2833	-1320.2837
NC_031969.f5.masked_05045001_05045999	t1	1.3774	-1114.6267	-1116.0045	-1116.0041
NC_031969.f5.masked_05049001_05049999	t2	7.3188	-1027.5595	-1020.2407	-1027.5606
NC_031969.f5.masked_05052001_05052999	t3	.0030	-1145.6565	-1145.6597	-1145.6535
NC_031969.f5.masked_05053001_05053999	t3	.0018	-1205.6075	-1205.6070	-1205.6052
NC_031969.f5.masked_05063001_05063999	t2	.0001	-1211.4183	-1211.4180	-1211.4181
NC_031969.f5.masked_05064001_05064999	t1	5.3330	-1052.2056	-1057.5386	-1062.4668
NC_031969.f5.masked_05103001_05103999	t3	.0031	-1035.4523	-1035.4499	-1035.4468
NC_031969.f5.masked_05121001_05121999	t2	.0144	-1085.6391	-1085.6247	-1085.6412
NC_031969.f5.masked_05138001_05138999	t1	7.9417	-1087.0896	-1095.0313	-1102.9543
NC_031969.f5.masked_05158001_05158999	t2	1.2674	-1104.0507	-1102.4612	-1103.7286
NC_031969.f5.masked_05177001_05177999	t3	.0006	-1039.0531	-1039.0536	-1039.0525
NC_031969.f5.masked_05182001_05182999	t3	.0248	-1046.0735	-1045.4302	-1045.4054
NC_031969.f5.masked_05183001_05183999	t1	.0047	-1327.9374	-1327.9421	-1335.6365
NC_031969.f5.masked_05184001_05184999	t2	.0001	-1172.9308	-1172.8888	-1172.8889
NC_031969.f5.masked_05188001_05188999	t3	.0078	-1183.3794	-1183.3845	-1183.3716
NC_031969.f5.masked_05192001_05192999	t1	.0001	-967.8703	-975.2441	-967.8704
NC_031969.f5.masked_05210001_05210999	t1	.0041	-1154.0603	-1154.0644	-1165.2840
NC_031969.f5.masked_05216001_05216999	t1	.0002	-1194.6576	-1194.6578	-1194.6580
NC_031969.f5.masked_05219001_05219999	t2	.5784	-1056.3728	-1055.7944	-1067.6624
NC_031969.f5.masked_05220001_05220999	t2	.0341	-1208.3554	-1208.3213	-1209.9577
NC_031969.f5.masked_05229001_05229999	t3	.0267	-1118.8377	-1118.6013	-1118.5746
NC_031969.f5.masked_05233001_05233999	t1	6.7842	-967.3116	-974.0963	-974.0958
NC_031969.f5.masked_05245001_05245999	t3	.0001	-976.1325	-976.1324	-976.1323
NC_031969.f5.masked_05251001_05251999	t2	.5220	-1025.2636	-1024.7406	-1025.2626
NC_031969.f5.masked_05252001_05252999	t1	.0085	-1122.4889	-1122.4974	-1122.5127
NC_031969.f5.masked_05253001_05253999	t1	.0523	-1094.4890	-1094.5641	-1094.5413
NC_031969.f5.masked_05258001_05258999	t2	7.1454	-1055.5164	-1048.3621	-1055.5075
NC_031969.f5.masked_05263001_05263999	t2	.0002	-993.9474	-993.9472	-993.9509
NC_031969.f5.masked_05270001_05270999	t2	.0001	-1141.4546	-1141.4545	-1143.5760
NC_031969.f5.masked_05272001_05272999	t3	.0013	-1025.8579	-1025.8592	-1025.8566
NC_031969.f5.masked_05276001_05276999	t3	6.4266	-1225.9090	-1225.9646	-1219.4824
NC_031969.f5.masked_05292001_05292999	t3	1.1296	-1085.8994	-1087.5252	-1084.7698
NC_031969.f5.masked_05303001_05303999	t1	.0015	-1002.2847	-1002.2862	-1014.9701
NC_031969.f5.masked_05308001_05308999	t2	.0230	-1219.0609	-1219.0379	-1219.1036
NC_031969.f5.masked_05323001_05323999	t2	.0034	-1222.0600	-1222.0566	-1227.0413
NC_031969.f5.masked_05324001_05324999	t2	8.0894	-1560.3478	-1550.9828	-1559.0722
NC_031969.f5.masked_05334001_05334999	t1	2.3272	-1302.8751	-1308.6597	-1305.2023
NC_031969.f5.masked_05358001_05358999	t1	7.5038	-1272.9295	-1280.4648	-1280.4333
NC_031969.f5.masked_05526001_05526999	t1	.0010	-1122.3595	-1122.3605	-1122.3621
NC_031969.f5.masked_05541001_05541999	t1	.4279	-1377.1831	-1377.6110	-1378.7030
NC_031969.f5.masked_05599001_05599999	t1	.0050	-1081.6686	-1081.6736	-1081.6772
NC_031969.f5.masked_05709001_05709999	t2	.0083	-1052.4381	-1052.4288	-1052.4371
NC_031969.f5.masked_05738001_05738999	t2	.0077	-1119.7525	-1119.7448	-1119.7714
