id	n_pi_sites	n_hemiplasies
NC_031969_02505001_02509999	13	2
NC_031969_04865001_04869999	6	3
NC_031969_04910001_04914999	8	6
NC_031969_04925001_04929999	13	11
NC_031969_04935001_04939999	5	2
NC_031969_05010001_05014999	6	1
NC_031969_05030001_05034999	8	2
NC_031969_05040001_05044999	9	3
NC_031969_05065001_05069999	15	11
NC_031969_05185001_05189999	12	9
NC_031969_05220001_05224999	19	16
NC_031969_05230001_05234999	14	7
NC_031969_05255001_05259999	5	1
NC_031969_05915001_05919999	44	39
NC_031969_05920001_05924999	36	37
NC_031969_06065001_06069999	31	27
NC_031969_07110001_07114999	33	28
NC_031969_07135001_07139999	19	9
NC_031969_07140001_07144999	19	13
NC_031969_07190001_07194999	21	21
NC_031969_07340001_07344999	31	11
NC_031969_07455001_07459999	20	12
NC_031969_07460001_07464999	42	29
NC_031969_07605001_07609999	27	17
NC_031969_07730001_07734999	21	9
NC_031969_07965001_07969999	22	25
NC_031969_07990001_07994999	20	25
NC_031969_08040001_08044999	23	13
NC_031969_08185001_08189999	25	13
NC_031969_08205001_08209999	13	13
NC_031969_08210001_08214999	22	22
NC_031969_08225001_08229999	16	14
NC_031969_08230001_08234999	18	19
NC_031969_08240001_08244999	16	12
NC_031969_08335001_08339999	17	20
NC_031969_08370001_08374999	43	47
NC_031969_08390001_08394999	39	46
NC_031969_08400001_08404999	30	34
NC_031969_08405001_08409999	15	15
NC_031969_08910001_08914999	16	13
NC_031969_09140001_09144999	21	17
NC_031969_09145001_09149999	13	11
NC_031969_09250001_09254999	12	9
NC_031969_09275001_09279999	20	23
NC_031969_09420001_09424999	14	6
NC_031969_09490001_09494999	17	16
NC_031969_09505001_09509999	16	5
NC_031969_09520001_09524999	40	29
NC_031969_09535001_09539999	23	23
NC_031969_09650001_09654999	45	44
NC_031969_09685001_09689999	17	8
NC_031969_09790001_09794999	26	15
NC_031969_09795001_09799999	19	10
NC_031969_09825001_09829999	22	8
NC_031969_09835001_09839999	9	4
NC_031969_09850001_09854999	21	9
NC_031969_09970001_09974999	18	14
NC_031969_09975001_09979999	33	37
NC_031969_09995001_09999999	29	23
NC_031969_10010001_10014999	19	17
NC_031969_10025001_10029999	10	7
NC_031969_10030001_10034999	29	31
NC_031969_10205001_10209999	28	29
NC_031969_10225001_10229999	39	39
NC_031969_10240001_10244999	29	32
NC_031969_10265001_10269999	30	20
NC_031969_10315001_10319999	21	19
NC_031969_10375001_10379999	21	9
NC_031969_10515001_10519999	26	15
NC_031969_10540001_10544999	24	17
NC_031969_10565001_10569999	19	13
NC_031969_10615001_10619999	14	13
NC_031969_10625001_10629999	20	22
NC_031969_10630001_10634999	12	9
NC_031969_10680001_10684999	21	22
NC_031969_10710001_10714999	35	40
NC_031969_10720001_10724999	35	37
NC_031969_10735001_10739999	18	20
NC_031969_10745001_10749999	25	23
NC_031969_10765001_10769999	22	13
NC_031969_10770001_10774999	36	38
NC_031969_10780001_10784999	13	7
NC_031969_10820001_10824999	22	26
NC_031969_10825001_10829999	26	15
NC_031969_10850001_10854999	21	11
NC_031969_10955001_10959999	14	6
NC_031969_10975001_10979999	16	5
NC_031969_10980001_10984999	23	14
NC_031969_10990001_10994999	13	6
NC_031969_10995001_10999999	15	4
NC_031969_11015001_11019999	23	7
NC_031969_11070001_11074999	17	13
NC_031969_11120001_11124999	25	26
NC_031969_11205001_11209999	12	3
NC_031969_11240001_11244999	14	2
NC_031969_11390001_11394999	26	13
NC_031969_11405001_11409999	34	31
NC_031969_11410001_11414999	29	27
NC_031969_11415001_11419999	28	16
NC_031969_11445001_11449999	10	2
NC_031969_11450001_11454999	9	5
NC_031969_11455001_11459999	16	12
NC_031969_11460001_11464999	18	11
NC_031969_11465001_11469999	8	6
NC_031969_11470001_11474999	13	8
NC_031969_11475001_11479999	15	9
NC_031969_11480001_11484999	15	6
NC_031969_11485001_11489999	24	13
NC_031969_11490001_11494999	14	8
NC_031969_11495001_11499999	10	2
NC_031969_11520001_11524999	8	4
NC_031969_11525001_11529999	6	1
NC_031969_11675001_11679999	20	14
NC_031969_11685001_11689999	28	19
NC_031969_11815001_11819999	13	7
NC_031969_11820001_11824999	15	1
NC_031969_12035001_12039999	23	26
NC_031969_12155001_12159999	18	10
NC_031969_12170001_12174999	16	5
NC_031969_12175001_12179999	7	4
NC_031969_12180001_12184999	33	36
NC_031969_12185001_12189999	27	20
NC_031969_12190001_12194999	17	11
NC_031969_12265001_12269999	28	28
NC_031969_12270001_12274999	28	31
NC_031969_12315001_12319999	18	19
NC_031969_12320001_12324999	26	30
NC_031969_12355001_12359999	25	16
NC_031969_12460001_12464999	19	4
NC_031969_12470001_12474999	24	13
NC_031969_12480001_12484999	17	16
NC_031969_12490001_12494999	21	17
NC_031969_12510001_12514999	17	14
NC_031969_12515001_12519999	19	8
NC_031969_12520001_12524999	20	14
NC_031969_12525001_12529999	19	9
NC_031969_12530001_12534999	6	1
NC_031969_12535001_12539999	18	6
NC_031969_12540001_12544999	11	1
NC_031969_12545001_12549999	15	14
NC_031969_12550001_12554999	27	10
NC_031969_12555001_12559999	24	13
NC_031969_12585001_12589999	18	13
NC_031969_12630001_12634999	24	27
NC_031969_12735001_12739999	18	6
NC_031969_12940001_12944999	24	15
NC_031969_13005001_13009999	20	16
NC_031969_13050001_13054999	14	1
NC_031969_13070001_13074999	26	11
NC_031969_13075001_13079999	25	12
NC_031969_13080001_13084999	24	14
NC_031969_13090001_13094999	22	18
NC_031969_13095001_13099999	15	8
NC_031969_13135001_13139999	16	22
NC_031969_13150001_13154999	19	11
NC_031969_13160001_13164999	14	1
NC_031969_13170001_13174999	14	11
NC_031969_13175001_13179999	20	9
NC_031969_13180001_13184999	15	11
NC_031969_13185001_13189999	23	12
NC_031969_13190001_13194999	13	3
NC_031969_13205001_13209999	27	16
NC_031969_13215001_13219999	19	6
NC_031969_13235001_13239999	12	8
NC_031969_13240001_13244999	27	14
NC_031969_13440001_13444999	20	12
NC_031969_13485001_13489999	13	3
NC_031969_13490001_13494999	18	9
NC_031969_13505001_13509999	8	1
NC_031969_13525001_13529999	9	3
NC_031969_13530001_13534999	6	1
NC_031969_13540001_13544999	20	7
NC_031969_13545001_13549999	16	13
NC_031969_13550001_13554999	13	8
NC_031969_13555001_13559999	23	14
NC_031969_13560001_13564999	19	5
NC_031969_13570001_13574999	21	21
NC_031969_13585001_13589999	27	27
NC_031969_13590001_13594999	22	12
NC_031969_13595001_13599999	22	20
NC_031969_13600001_13604999	17	12
NC_031969_13610001_13614999	15	4
NC_031969_13615001_13619999	17	23
NC_031969_13655001_13659999	13	2
NC_031969_13670001_13674999	13	8
NC_031969_13675001_13679999	10	3
NC_031969_13685001_13689999	15	10
NC_031969_13690001_13694999	15	8
NC_031969_13695001_13699999	11	7
NC_031969_13705001_13709999	18	6
NC_031969_13710001_13714999	23	10
NC_031969_13715001_13719999	11	10
NC_031969_13720001_13724999	18	3
NC_031969_13725001_13729999	24	7
NC_031969_13730001_13734999	27	19
NC_031969_13735001_13739999	13	6
NC_031969_13740001_13744999	20	11
NC_031969_13750001_13754999	15	6
NC_031969_13755001_13759999	12	4
NC_031969_13760001_13764999	8	6
NC_031969_13765001_13769999	13	3
NC_031969_13770001_13774999	13	3
NC_031969_13780001_13784999	15	5
NC_031969_13790001_13794999	10	2
NC_031969_13795001_13799999	19	4
NC_031969_13810001_13814999	41	37
NC_031969_13830001_13834999	20	16
NC_031969_13915001_13919999	15	8
NC_031969_13935001_13939999	28	17
NC_031969_13980001_13984999	14	5
NC_031969_13985001_13989999	17	17
NC_031969_14025001_14029999	23	21
NC_031969_14170001_14174999	22	22
NC_031969_14175001_14179999	22	15
NC_031969_14195001_14199999	10	1
NC_031969_14205001_14209999	35	7
NC_031969_14220001_14224999	25	17
NC_031969_14495001_14499999	14	6
NC_031969_14500001_14504999	7	0
NC_031969_14505001_14509999	15	11
NC_031969_14540001_14544999	22	15
NC_031969_14545001_14549999	20	10
NC_031969_14610001_14614999	14	7
NC_031969_14615001_14619999	22	18
NC_031969_14620001_14624999	15	10
NC_031969_14630001_14634999	23	17
NC_031969_14635001_14639999	19	12
NC_031969_14645001_14649999	20	11
