chr	windowStart	windowEnd	D	f_d	f_dM
NC_031969	711172	2181492	0.888294	0.540755	0.283516
NC_031969	1.36568e+06	2368493	0.900699	0.580703	0.294131
NC_031969	1.61713e+06	2500916	0.902373	0.598202	0.291758
NC_031969	1.7941e+06	2624298	0.872887	0.616818	0.281264
NC_031969	2.08672e+06	2903681	0.852224	0.563835	0.264411
NC_031969	2.18152e+06	3090704	0.82716	0.541962	0.243139
NC_031969	2.36852e+06	3218877	0.789784	0.477889	0.220976
NC_031969	2.50115e+06	3328902	0.734662	0.456976	0.207643
NC_031969	2.6243e+06	3422924	0.764437	0.463476	0.208145
NC_031969	2.90989e+06	3766962	0.808318	0.51075	0.229252
NC_031969	3.09070e+06	4062642	0.812347	0.519749	0.242716
NC_031969	3.21895e+06	4143469	0.804638	0.533551	0.246237
NC_031969	3.3289e+06	4236692	0.792324	0.521948	0.24034
NC_031969	3.42293e+06	4293781	0.766391	0.508764	0.235492
NC_031969	3.76727e+06	4407627	0.726252	0.484621	0.216866
NC_031969	4.0628e+06	4474271	0.657646	0.413815	0.183241
NC_031969	4.14363e+06	4529661	0.63803	0.386733	0.167673
NC_031969	4.2367e+06	4642639	0.626434	0.380195	0.169681
NC_031969	4.29424e+06	4730851	0.499852	0.309364	0.12864
NC_031969	4.40777e+06	4816373	0.412181	0.257111	0.104374
NC_031969	4.47428e+06	4897995	0.466007	0.317691	0.122021
NC_031969	4.52982e+06	4960601	0.464844	0.350193	0.12132
NC_031969	4.64272e+06	5019526	0.475664	0.347967	0.113382
NC_031969	4.73086e+06	5074870	0.628409	0.414932	0.15462
NC_031969	4.81708e+06	5122207	0.672619	0.456473	0.166938
NC_031969	4.89814e+06	5177077	0.693048	0.433517	0.176303
NC_031969	4.9606e+06	5231300	0.651593	0.390214	0.171746
NC_031969	5.01965e+06	5286676	0.558505	0.359949	0.152688
NC_031969	5.07503e+06	5338436	0.56814	0.357526	0.156848
NC_031969	5.12229e+06	5394824	0.595745	0.361244	0.169379
NC_031969	5.17722e+06	5459793	0.567575	0.349054	0.160284
NC_031969	5.23132e+06	5542581	0.635475	0.394583	0.180992
NC_031969	5.28672e+06	5608330	0.710958	0.425972	0.203676
NC_031969	5.33844e+06	5671335	0.73457	0.43353	0.203145
NC_031969	5.39482e+06	5737918	0.736917	0.421498	0.189878
NC_031969	5.4598e+06	5814607	0.730356	0.410316	0.189974
NC_031969	5.54260e+06	5872289	0.650216	0.350443	0.162519
NC_031969	5.60839e+06	5910971	0.600909	0.331328	0.148206
NC_031969	5.67136e+06	5974468	0.536726	0.294676	0.130364
NC_031969	5.73794e+06	6034109	0.492611	0.263536	0.125142
NC_031969	5.81463e+06	6076596	0.444228	0.235537	0.106892
NC_031969	5.87232e+06	6154971	0.498376	0.265842	0.124594
NC_031969	5.91098e+06	6206256	0.49935	0.265683	0.12626
NC_031969	5.97667e+06	6289039	0.537111	0.295175	0.140325
NC_031969	6.03417e+06	6648100	0.582942	0.337409	0.156119
NC_031969	6.0767e+06	6696798	0.673866	0.4012	0.18705
NC_031969	6.15498e+06	6754462	0.684211	0.413043	0.188838
NC_031969	6.20628e+06	6801588	0.739669	0.432585	0.201397
NC_031969	6.28921e+06	6850244	0.76589	0.467223	0.223971
NC_031969	6.64812e+06	6896008	0.788603	0.481166	0.233586
NC_031969	6.69689e+06	6972815	0.771624	0.454421	0.222471
NC_031969	6.75464e+06	7027738	0.772397	0.438827	0.223556
NC_031969	6.80159e+06	7077929	0.798104	0.472589	0.239498
NC_031969	6.85025e+06	7124224	0.806832	0.472251	0.231341
NC_031969	6.89610e+06	7169273	0.82254	0.4753	0.226713
NC_031969	6.97283e+06	7233089	0.82919	0.50096	0.223739
NC_031969	7.02777e+06	7277265	0.826699	0.530395	0.225468
