chr	windowStart	windowEnd	D	f_d	f_dM	d_f
scaffold_18	35877	39553	-0.516058	-0.659059	-0.339281	-0.269700
scaffold_18	35940	39751	-0.550882	-0.649433	-0.333122	-0.282179
scaffold_18	36337	40048	-0.570853	-0.749799	-0.358585	-0.286202
scaffold_18	36529	40599	-0.637526	-0.762398	-0.348400	-0.286973
scaffold_18	36613	40771	-0.741950	-1.327901	-0.447924	-0.342251
scaffold_18	36985	41473	-0.848662	-1.679801	-0.535194	-0.498693
scaffold_18	37384	41942	-0.886667	-2.093792	-0.582097	-0.589486
scaffold_18	38519	44136	-0.874393	-1.994293	-0.570313	-0.594878
scaffold_18	38731	44397	-0.844287	-1.857598	-0.544554	-0.550678
scaffold_18	38986	44607	-0.844348	-2.589456	-0.566627	-0.525714
scaffold_18	39650	44971	-0.856115	-4.243575	-0.627513	-0.556536
scaffold_18	39753	45451	-0.865222	-4.795120	-0.638854	-0.580242
scaffold_18	40272	45802	-0.930117	-4.767226	-0.653271	-0.653572
scaffold_18	40710	46037	-0.942103	-7.316610	-0.720898	-0.759599
scaffold_18	41070	46494	-0.927653	-4.611471	-0.685730	-0.795929
scaffold_18	41510	46867	-0.857239	-2.961026	-0.595570	-0.659265
scaffold_18	43923	47173	-0.784897	-2.857219	-0.540034	-0.537342
scaffold_18	44212	48711	-0.631206	-1.760713	-0.445405	-0.411923
scaffold_18	44422	48969	-0.632544	-1.764266	-0.443193	-0.410711
scaffold_18	44741	49163	-0.637637	-1.433924	-0.449562	-0.444747
scaffold_18	45053	49480	-0.658896	-1.570323	-0.466520	-0.461192
scaffold_18	45453	50122	-0.674428	-1.576124	-0.486458	-0.477761
scaffold_18	45829	50566	-0.681259	-1.612308	-0.470255	-0.484251
scaffold_18	46052	51055	-0.662642	-1.541255	-0.461708	-0.463874
scaffold_18	46507	51772	-0.632856	-1.417845	-0.429563	-0.389869
scaffold_18	46930	51919	-0.670319	-2.409930	-0.471853	-0.373387
scaffold_18	47248	52476	-0.599405	-1.379758	-0.405338	-0.359119
scaffold_18	48750	56163	-0.615108	-1.483650	-0.354695	-0.372451
scaffold_18	48976	56250	-0.395883	-0.810828	-0.227704	-0.251894
scaffold_18	49304	56576	-0.361377	-0.757474	-0.208051	-0.218203
scaffold_18	49525	56909	-0.202315	-0.344629	-0.108286	-0.119636
scaffold_18	50183	57130	-0.118743	-0.188504	-0.059845	-0.063501
scaffold_18	50600	57434	-0.030593	-0.047340	-0.015199	-0.014841
scaffold_18	51069	58646	0.077417	0.116146	0.040362	0.038359
scaffold_18	51798	59347	0.198978	0.266097	0.103775	0.110171
scaffold_18	51925	60100	0.279452	0.307566	0.130882	0.169424
scaffold_18	52544	60651	0.328904	0.388551	0.158785	0.181184
scaffold_18	56164	61666	0.273856	0.344111	0.144657	0.148663
scaffold_18	56255	64513	0.198818	0.246578	0.098744	0.099976
scaffold_18	56582	66968	0.380014	0.414164	0.195244	0.209692
scaffold_18	56918	69874	0.362642	0.329456	0.177804	0.209174
scaffold_18	57131	70946	0.329608	0.294376	0.159819	0.207102
scaffold_18	57940	71889	0.384075	0.297623	0.173932	0.243068
scaffold_18	58742	73059	0.257111	0.215154	0.114625	0.144999
scaffold_18	59430	74098	0.183873	0.144737	0.078566	0.096003
scaffold_18	60211	76583	0.152933	0.114152	0.064669	0.074938
scaffold_18	60725	77900	-0.013046	-0.010045	-0.005330	-0.007291
scaffold_18	61723	81019	0.152923	0.094508	0.055398	0.093467
scaffold_18	65682	86231	0.174273	0.102647	0.060499	0.102509
scaffold_18	67703	91756	0.004119	0.002380	0.001331	0.002362
scaffold_18	70140	93590	-0.158998	-0.110100	-0.055726	-0.091047
scaffold_18	71281	97076	-0.143217	-0.098793	-0.050793	-0.079237
scaffold_18	72520	101870	-0.139564	-0.091035	-0.048666	-0.081479
scaffold_18	73337	104284	-0.047448	-0.027828	-0.015826	-0.030402
scaffold_18	74932	112253	-0.033947	-0.020186	-0.011442	-0.022949
scaffold_18	76793	116195	0.024608	0.015192	0.008702	0.018046
scaffold_18	78255	118762	0.107460	0.059707	0.035157	0.074183
scaffold_18	81989	122579	-0.034602	-0.020722	-0.011736	-0.022711
scaffold_18	86384	122736	-0.124195	-0.086947	-0.047512	-0.072903
scaffold_18	93207	123326	-0.096964	-0.069885	-0.038526	-0.052583
scaffold_18	93694	127956	0.046946	0.028911	0.017042	0.023232
scaffold_18	101444	130568	0.104409	0.056999	0.034935	0.051138
scaffold_18	102074	132089	0.045212	0.030625	0.017516	0.021762
scaffold_18	105807	138180	-0.030461	-0.021290	-0.011606	-0.013804
scaffold_18	114542	141925	-0.089033	-0.059638	-0.033188	-0.040072
scaffold_18	116291	146482	-0.184061	-0.127147	-0.068205	-0.083034
scaffold_18	119249	146794	-0.156134	-0.122046	-0.066538	-0.073097
scaffold_18	122590	147878	-0.123794	-0.105719	-0.058006	-0.059723
scaffold_18	123002	148210	-0.061765	-0.052547	-0.030474	-0.033632
scaffold_18	123847	149487	-0.188782	-0.187345	-0.092996	-0.115505
scaffold_18	129631	158697	-0.231241	-0.149615	-0.077362	-0.140018
scaffold_18	130823	162407	-0.245309	-0.161467	-0.081275	-0.115693
scaffold_18	133720	164888	-0.086720	-0.053324	-0.028575	-0.042856
scaffold_18	138410	166271	0.056287	0.032155	0.018792	0.029568
scaffold_18	142773	166946	0.019181	0.012051	0.006921	0.010327
scaffold_18	146545	174185	0.124464	0.075897	0.045568	0.066399
scaffold_18	146927	177481	0.088378	0.049713	0.029491	0.044866
scaffold_18	147896	186320	0.136710	0.065009	0.040241	0.071669
scaffold_18	148445	192905	0.174003	0.083156	0.052730	0.098252
scaffold_18	150981	193548	0.296038	0.128029	0.087331	0.160716
scaffold_18	159408	196740	0.319973	0.186158	0.127677	0.171602
scaffold_18	162417	198325	0.278888	0.171913	0.117447	0.193648
scaffold_18	165287	202451	0.181826	0.113685	0.075878	0.125576
scaffold_18	166398	202928	0.056858	0.041229	0.026234	0.040883
scaffold_18	168094	203799	0.074752	0.053754	0.032769	0.051279
scaffold_18	174188	206538	0.050266	0.037939	0.021825	0.033645
scaffold_18	178002	208574	0.080063	0.062854	0.037138	0.054405
scaffold_18	190827	210515	0.065582	0.060652	0.035534	0.044419
scaffold_18	193083	212010	-0.056102	-0.048876	-0.028271	-0.034353
scaffold_18	193551	220562	0.004280	0.002997	0.001911	0.002695
scaffold_18	197278	224142	-0.000198	-0.000123	-0.000082	-0.000120
scaffold_18	199017	225111	0.021970	0.014058	0.009705	0.013588
scaffold_18	202460	230040	0.080259	0.047901	0.033197	0.049048
scaffold_18	202929	233192	0.115406	0.060598	0.040155	0.069534
scaffold_18	205254	242505	0.040648	0.019840	0.013135	0.023701
scaffold_18	208151	243651	0.045547	0.022705	0.015948	0.027884
scaffold_18	209574	246303	0.018419	0.009591	0.006565	0.011726
scaffold_18	211240	250256	-0.030983	-0.015771	-0.010496	-0.019062
scaffold_18	214439	254638	0.017596	0.009568	0.006092	0.011266
scaffold_18	220728	255821	0.139203	0.072918	0.044345	0.090303
scaffold_18	224277	256000	0.218839	0.116619	0.071930	0.132778
scaffold_18	226246	258950	0.277432	0.118609	0.078510	0.168686
scaffold_18	230332	264823	0.280226	0.127514	0.084294	0.160376
scaffold_18	234709	265286	0.287805	0.129672	0.087811	0.158380
scaffold_18	242576	266283	0.284443	0.143290	0.098612	0.164881
scaffold_18	244422	268677	0.160345	0.081647	0.051488	0.091818
scaffold_18	246635	270764	0.156040	0.071310	0.045035	0.085224
scaffold_18	250544	275570	0.220032	0.089900	0.057990	0.117274
scaffold_18	254639	278900	0.304542	0.122046	0.078680	0.170431
scaffold_18	255945	283368	0.047067	0.022000	0.013176	0.026222
scaffold_18	256007	289685	-0.082352	-0.037667	-0.022671	-0.054527
scaffold_18	263786	304568	-0.109679	-0.060948	-0.033553	-0.071191
scaffold_18	264916	306713	-0.153293	-0.075612	-0.043237	-0.096188
scaffold_18	265634	307413	-0.095717	-0.046891	-0.027697	-0.055974
scaffold_18	266337	307812	-0.041734	-0.019274	-0.011562	-0.024788
scaffold_18	269791	312029	0.072295	0.030105	0.019643	0.038392
scaffold_18	271181	319969	0.132182	0.063918	0.041819	0.072672
scaffold_18	275572	320276	0.081772	0.048752	0.031483	0.044906
scaffold_18	279042	320351	0.020994	0.013663	0.009224	0.010431
scaffold_18	283389	328122	0.181698	0.113402	0.088069	0.080005
scaffold_18	289847	343891	0.301388	0.221627	0.163487	0.125719
scaffold_18	304614	344456	0.293936	0.228225	0.164354	0.118165
scaffold_18	306716	345000	0.310243	0.287249	0.199569	0.146661
scaffold_18	307508	350568	0.225424	0.190019	0.129761	0.110374
scaffold_18	310491	352223	0.253592	0.194138	0.135232	0.121053
scaffold_18	312684	353005	0.189257	0.167745	0.112137	0.098904
scaffold_18	320179	360257	0.191749	0.100354	0.075854	0.089088
scaffold_18	320299	367060	0.151554	0.074370	0.056824	0.073192
scaffold_18	320464	369305	0.093820	0.041833	0.031506	0.048643
scaffold_18	328128	369538	0.156365	0.072616	0.055906	0.080529
scaffold_18	344108	370047	0.111710	0.051998	0.041640	0.050985
scaffold_18	344756	371825	0.002810	0.001264	0.001000	0.001282
scaffold_18	345042	372272	-0.044326	-0.022515	-0.016698	-0.019281
scaffold_18	350787	372613	-0.023641	-0.012762	-0.009601	-0.010001
scaffold_18	352231	372817	-0.004572	-0.002662	-0.002012	-0.001935
scaffold_18	355946	373737	0.041821	0.022907	0.017490	0.017676
scaffold_18	361195	374355	0.030347	0.026571	0.018190	0.013780
scaffold_18	367284	376656	0.024675	0.026368	0.016726	0.010003
scaffold_18	369441	385918	0.137881	0.132257	0.082073	0.053877
scaffold_18	369580	387821	0.086630	0.081874	0.047236	0.034549
scaffold_18	370067	388848	0.111831	0.101184	0.058336	0.049599
scaffold_18	371842	390461	0.291193	0.263284	0.136498	0.118468
scaffold_18	372316	404436	0.343779	0.217851	0.138649	0.161407
scaffold_18	372635	406729	0.414033	0.207641	0.143969	0.222842
scaffold_18	372970	408985	0.414909	0.198696	0.134752	0.225769
scaffold_18	373959	410364	0.287527	0.155671	0.098723	0.153897
scaffold_18	374356	411037	0.336470	0.180384	0.117062	0.181772
scaffold_18	377112	411895	0.379591	0.205585	0.139801	0.241854
scaffold_18	385954	413696	0.408687	0.243735	0.168990	0.275762
scaffold_18	388404	413826	0.397194	0.241879	0.169987	0.269202
scaffold_18	388937	415622	0.462737	0.264798	0.195985	0.316438
scaffold_18	390462	417677	0.314618	0.189167	0.147009	0.246684
scaffold_18	404557	419246	0.174067	0.123867	0.089805	0.110775
scaffold_18	408453	422276	0.093071	0.072954	0.048802	0.056363
scaffold_18	409034	424619	0.070687	0.053624	0.036402	0.043216
scaffold_18	410613	432042	0.211380	0.137648	0.097581	0.135739
scaffold_18	411133	434443	0.062244	0.041892	0.027776	0.040640
scaffold_18	413049	440440	-0.001974	-0.001260	-0.000810	-0.001193
scaffold_18	413702	445793	-0.021355	-0.013224	-0.008752	-0.013509
scaffold_18	414028	448932	-0.027083	-0.015399	-0.010405	-0.017224
scaffold_18	415994	449686	-0.140584	-0.085074	-0.053523	-0.090938
scaffold_18	417747	453621	-0.017562	-0.009806	-0.006452	-0.010852
scaffold_18	420754	457685	0.061728	0.030084	0.020600	0.043939
scaffold_18	422567	460331	0.076686	0.038694	0.026055	0.056578
scaffold_18	426062	460747	0.144376	0.075719	0.051649	0.103665
scaffold_18	432661	460884	0.056399	0.030897	0.021458	0.037632
scaffold_18	437695	463438	0.158917	0.085271	0.061647	0.102506
scaffold_18	442757	466970	0.076728	0.043649	0.030148	0.051004
scaffold_18	447918	471268	0.118324	0.055061	0.037345	0.075299
scaffold_18	449022	476731	0.072192	0.036834	0.024047	0.045344
scaffold_18	449704	481234	0.098203	0.047019	0.031512	0.059914
scaffold_18	454625	491578	0.004373	0.001678	0.001136	0.002723
scaffold_18	458131	503293	0.033729	0.012536	0.008464	0.020546
scaffold_18	460334	511289	0.061380	0.022791	0.015370	0.038939
scaffold_18	460766	513806	0.080243	0.029690	0.020129	0.054114
scaffold_18	460966	517465	0.097219	0.033676	0.022678	0.070630
scaffold_18	463521	525226	0.125276	0.038523	0.026883	0.093217
scaffold_18	467127	531750	0.070849	0.023950	0.015822	0.055520
scaffold_18	472916	534489	0.062085	0.026201	0.016923	0.049655
scaffold_18	477197	538849	0.012307	0.005320	0.003374	0.010267
