block_id	p_missing	n_pi_sites	mean_bootstrap_support	phi_p
NC_031969_02066951_02116950	0.703	256	74.8	3.13e-01
NC_031969_02466951_02516950	0.713	260	70.3	7.33e-02
NC_031969_03116951_03166950	0.769	320	70.8	6.02e-01
NC_031969_04099401_04149400	0.768	276	70.0	6.66e-01
NC_031969_04249401_04299400	0.759	311	75.4	2.32e-01
NC_031969_05599401_05649400	0.749	356	70.8	2.00e-01
NC_031969_05949401_05999400	0.789	263	70.2	2.66e-01
NC_031969_05999401_06049400	0.713	335	79.2	7.50e-02
NC_031969_06669076_06719075	0.689	342	77.0	3.58e-01
NC_031969_06769076_06819075	0.759	367	73.1	8.41e-02
NC_031969_06819076_06869075	0.722	390	73.2	3.74e-01
NC_031969_07119076_07169075	0.607	426	71.0	6.66e-01
NC_031969_07219076_07269075	0.659	408	72.0	7.04e-02
NC_031969_07683629_07733628	0.671	346	72.0	2.96e-01
NC_031969_07923768_07973767	0.638	466	74.5	2.73e-01
NC_031969_08073768_08123767	0.672	356	78.0	1.53e-01
NC_031969_08123768_08173767	0.651	389	70.7	3.11e-01
NC_031969_08523768_08573767	0.794	325	71.4	7.19e-01
NC_031969_08573768_08623767	0.757	389	74.1	5.38e-02
NC_031969_08623768_08673767	0.791	291	75.9	6.85e-02
NC_031969_08723768_08773767	0.739	427	84.6	2.09e-01
NC_031969_08883610_08933609	0.665	421	77.2	3.26e-01
NC_031969_09033610_09083609	0.698	433	71.5	3.28e-01
NC_031969_09083610_09133609	0.665	442	78.5	2.30e-01
NC_031969_10665950_10715949	0.559	460	72.1	2.14e-01
NC_031969_11139981_11189980	0.719	355	70.4	1.47e-01
NC_031969_11410169_11460168	0.480	453	87.5	7.10e-02
NC_031969_11766193_11816192	0.672	332	76.9	4.92e-01
NC_031969_11841202_11891201	0.677	322	71.2	3.10e-01
NC_031969_11891202_11941201	0.602	416	71.9	3.47e-01
NC_031969_12291202_12341201	0.603	418	79.1	2.26e-01
NC_031969_12519064_12569063	0.447	462	83.4	4.63e-01
NC_031969_12663265_12713264	0.681	386	76.2	9.07e-02
NC_031969_13149552_13199551	0.444	457	78.3	1.80e-01
NC_031969_13468209_13518208	0.588	357	78.5	1.50e-01
NC_031969_13568209_13618208	0.465	533	81.8	9.35e-02
NC_031969_13670660_13720659	0.449	458	80.3	1.64e-01
NC_031969_13720660_13770659	0.410	426	70.7	1.73e-01
NC_031969_13968437_14018436	0.580	450	81.7	1.61e-01
NC_031969_14484115_14534114	0.575	398	74.0	9.66e-02
NC_031969_14697814_14747813	0.634	445	77.8	2.04e-01
NC_031969_15323318_15373317	0.672	424	76.4	6.38e-02
NC_031969_15424616_15474615	0.416	469	85.3	7.98e-02
NC_031969_15574616_15624615	0.627	405	79.4	6.89e-02
NC_031969_15707391_15757390	0.467	438	71.4	1.75e-01
NC_031969_15937161_15987160	0.456	474	78.6	2.10e-01
NC_031969_15987161_16037160	0.491	506	75.2	1.87e-01
NC_031969_16037161_16087160	0.689	431	78.1	2.62e-01
NC_031969_16110673_16160672	0.683	388	75.4	6.12e-02
NC_031969_16609322_16659321	0.588	516	73.0	5.63e-02
NC_031969_16659322_16709321	0.607	377	82.3	2.33e-01
NC_031969_16778091_16828090	0.542	496	71.0	1.98e-01
NC_031969_16856916_16906915	0.687	328	70.0	8.48e-02
NC_031969_17218185_17268184	0.695	374	80.0	2.58e-01
NC_031969_17268185_17318184	0.702	347	77.7	4.35e-01
NC_031969_17318185_17368184	0.758	273	75.2	4.50e-01
NC_031969_17518185_17568184	0.734	284	77.0	2.07e-01
NC_031969_17618185_17668184	0.708	310	80.2	9.32e-02
NC_031969_17718185_17768184	0.641	402	70.3	3.18e-01
NC_031969_17818185_17868184	0.683	321	79.2	6.22e-01
NC_031969_17868185_17918184	0.683	335	70.0	1.96e-01
NC_031969_17918185_17968184	0.726	269	78.1	4.29e-01
NC_031969_18068185_18118184	0.737	315	83.4	5.56e-02
NC_031969_18118185_18168184	0.772	260	74.4	7.62e-02
NC_031969_18204804_18254803	0.663	326	83.5	1.18e-01
NC_031969_18254804_18304803	0.645	368	85.9	4.87e-01
NC_031969_18354804_18404803	0.732	271	71.4	1.17e-01
NC_031969_18404804_18454803	0.700	308	79.8	2.38e-01
NC_031969_18454804_18504803	0.633	370	82.8	4.98e-01
NC_031969_18604804_18654803	0.626	367	82.6	2.47e-01
NC_031969_19292140_19342139	0.545	357	72.7	3.07e-01
NC_031969_19342140_19392139	0.684	372	80.2	1.47e-01
NC_031969_19392140_19442139	0.620	364	78.6	2.00e-01
NC_031969_19492140_19542139	0.655	376	80.6	1.70e-01
NC_031969_19542140_19592139	0.705	345	73.8	1.46e-01
NC_031969_19633018_19683017	0.679	359	76.3	2.69e-01
NC_031969_21534835_21584834	0.694	340	78.9	6.31e-02
NC_031969_21634835_21684834	0.652	337	84.2	1.21e-01
NC_031969_21684835_21734834	0.634	371	82.3	4.95e-01
NC_031969_21734835_21784834	0.625	405	78.4	8.93e-02
NC_031969_22007992_22057991	0.594	377	78.8	1.37e-01
NC_031969_22336898_22386897	0.564	366	87.1	6.42e-01
NC_031969_22689203_22739202	0.616	427	76.2	7.01e-02
NC_031969_22739203_22789202	0.620	417	73.6	1.98e-01
NC_031969_22789203_22839202	0.595	423	74.6	8.82e-02
NC_031969_22839203_22889202	0.594	495	86.9	2.76e-01
NC_031969_22939203_22989202	0.730	334	72.4	2.26e-01
NC_031969_22989203_23039202	0.764	297	82.0	1.30e-01
NC_031969_23039203_23089202	0.746	270	74.5	1.68e-01
NC_031969_23522568_23572567	0.591	481	73.9	6.38e-02
NC_031969_23622568_23672567	0.625	440	76.8	9.26e-02
NC_031969_23672568_23722567	0.496	483	87.8	8.19e-02
NC_031969_23881165_23931164	0.506	423	75.8	8.71e-02
NC_031969_24031165_24081164	0.681	427	81.6	2.37e-01
NC_031969_24207543_24257542	0.702	376	73.9	5.35e-01
NC_031969_24754002_24804001	0.752	297	81.2	3.74e-01
NC_031969_24804002_24854001	0.630	380	75.3	1.44e-01
NC_031969_25017083_25067082	0.728	318	78.2	2.53e-01
NC_031969_25117083_25167082	0.741	376	78.5	3.40e-01
NC_031969_25217083_25267082	0.666	403	81.5	1.03e-01
NC_031969_25417083_25467082	0.723	351	75.3	3.87e-01
NC_031969_25467083_25517082	0.690	364	76.2	3.77e-01
NC_031969_25667083_25717082	0.767	304	73.2	6.60e-01
NC_031969_25797081_25847080	0.624	422	81.8	3.75e-01
NC_031969_25997081_26047080	0.648	350	81.7	2.54e-01
NC_031969_26097081_26147080	0.724	268	73.8	4.19e-01
NC_031969_26291152_26341151	0.675	340	71.3	1.21e-01
NC_031969_26818817_26868816	0.709	354	72.1	2.10e-01
NC_031969_26868817_26918816	0.632	376	85.9	1.60e-01
NC_031969_26966545_27016544	0.548	462	80.0	2.16e-01
NC_031969_27077245_27127244	0.625	415	78.8	3.35e-01
NC_031969_27194090_27244089	0.709	369	85.0	5.05e-01
NC_031969_27521079_27571078	0.737	403	83.8	9.51e-02
NC_031969_27971079_28021078	0.530	420	72.5	3.53e-01
NC_031969_28021079_28071078	0.608	415	75.8	6.96e-02
NC_031969_28121079_28171078	0.634	377	73.7	2.00e-01
NC_031969_28846547_28896546	0.639	353	78.2	3.90e-01
NC_031969_29434205_29484204	0.641	406	81.3	9.13e-02
NC_031969_29584205_29634204	0.638	388	75.6	8.62e-01
NC_031969_30092567_30142566	0.575	398	74.9	2.74e-01
NC_031969_30205780_30255779	0.726	357	84.9	9.82e-02
NC_031969_30444781_30494780	0.669	375	78.0	1.29e-01
NC_031969_30582993_30632992	0.638	419	85.9	9.10e-01
NC_031969_30632993_30682992	0.695	351	85.1	5.00e-01
NC_031969_30682993_30732992	0.711	324	70.2	6.92e-02
NC_031969_30782993_30832992	0.609	361	77.2	1.50e-01
NC_031969_30832993_30882992	0.630	398	79.0	8.37e-01
NC_031969_31116959_31166958	0.681	414	75.0	2.54e-01
NC_031969_32250492_32300491	0.786	269	72.8	2.67e-01
NC_031969_33194010_33244009	0.730	315	71.2	4.83e-01
NC_031969_33244010_33294009	0.767	259	72.8	5.82e-01
NC_031969_33294010_33344009	0.716	321	70.9	2.33e-01
NC_031969_34082126_34132125	0.758	298	74.9	1.64e-01
NC_031969_34381621_34431620	0.764	272	74.6	9.27e-02
NC_031969_34581621_34631620	0.741	300	86.0	3.41e-01
NC_031969_34815809_34865808	0.633	338	83.2	2.97e-01
NC_031969_34865809_34915808	0.614	332	78.7	2.82e-01
NC_031969_34915809_34965808	0.627	356	84.4	9.79e-01
NC_031969_35169521_35219520	0.793	254	82.0	9.33e-01
NC_031969_36624493_36674492	0.783	274	70.8	8.23e-01
