chr	windowStart	windowEnd	D	f_d	f_dM
scaffold_18	35690	39221	-0.814156	-1.435435	-0.547119
scaffold_18	35728	39553	-0.809365	-1.272643	-0.518449
scaffold_18	35824	39671	-0.803985	-1.186319	-0.500950
scaffold_18	35856	39689	-0.795269	-1.179673	-0.496942
scaffold_18	35877	39753	-0.784365	-1.135253	-0.488363
scaffold_18	35895	39828	-0.769007	-1.065630	-0.470813
scaffold_18	35911	39869	-0.756713	-1.078261	-0.471662
scaffold_18	35933	40042	-0.756410	-1.075521	-0.470924
scaffold_18	35935	40048	-0.756434	-1.044194	-0.463462
scaffold_18	35940	40272	-0.762107	-1.000837	-0.454407
scaffold_18	36004	40304	-0.768020	-1.085162	-0.472477
scaffold_18	36054	40312	-0.748753	-1.022998	-0.454924
scaffold_18	36069	40396	-0.756773	-1.076182	-0.457387
scaffold_18	36145	40599	-0.764110	-1.044068	-0.439529
scaffold_18	36337	40710	-0.778050	-1.113158	-0.439557
scaffold_18	36499	40711	-0.793172	-1.168421	-0.451679
scaffold_18	36501	40713	-0.801945	-1.185739	-0.455068
scaffold_18	36506	40746	-0.816334	-1.286477	-0.475033
scaffold_18	36512	40771	-0.818789	-1.307829	-0.479140
scaffold_18	36529	41070	-0.831495	-1.340035	-0.486512
scaffold_18	36534	41357	-0.843266	-1.324675	-0.489062
scaffold_18	36557	41383	-0.854478	-1.371359	-0.497944
scaffold_18	36573	41397	-0.860660	-1.511017	-0.518917
scaffold_18	36588	41473	-0.877223	-1.594435	-0.535239
scaffold_18	36613	41510	-0.879460	-1.708850	-0.549047
scaffold_18	36663	41556	-0.904454	-1.854430	-0.570832
scaffold_18	36669	41682	-0.908277	-1.770270	-0.566180
scaffold_18	36735	41937	-0.915127	-1.788274	-0.571280
scaffold_18	36736	43923	-0.916587	-1.718894	-0.563302
scaffold_18	36985	43993	-0.917265	-1.749032	-0.564924
scaffold_18	37014	44024	-0.918457	-1.826433	-0.571927
scaffold_18	37087	44238	-0.924743	-1.764346	-0.566028
scaffold_18	37179	44397	-0.912472	-1.707681	-0.557042
scaffold_18	37322	44435	-0.912332	-1.698366	-0.553779
scaffold_18	37384	44437	-0.913506	-2.042254	-0.582915
